time	V(Reset,R-PI_GND)	V(pulse)	V(reset)	V(vl)
0.000000000000000e+000	3.296703e+000	0.000000e+000	1.495583e-013	0.000000e+000
2.106514226137994e-005	3.296695e+000	0.000000e+000	2.058696e+000	2.059188e+000
4.213028452275988e-005	3.296686e+000	0.000000e+000	4.116121e+000	4.118060e+000
6.319542678413982e-005	3.296678e+000	0.000000e+000	6.172276e+000	6.176618e+000
8.426056904551975e-005	3.296671e+000	0.000000e+000	8.227159e+000	8.234860e+000
1.053257113068997e-004	3.296664e+000	0.000000e+000	1.028077e+001	1.029279e+001
1.263908535682796e-004	3.296657e+000	0.000000e+000	1.233311e+001	1.235040e+001
1.474559958296595e-004	3.296651e+000	0.000000e+000	1.438419e+001	1.440770e+001
2.846719919489261e-004	3.296502e+000	0.000000e+000	2.776047e+001	2.784896e+001
4.218879880681926e-004	3.296289e+000	0.000000e+000	4.098448e+001	4.117719e+001
5.591039841874592e-004	3.296012e+000	0.000000e+000	5.405622e+001	5.439239e+001
6.963199803067257e-004	3.295670e+000	0.000000e+000	6.697569e+001	6.749457e+001
8.335359764259922e-004	3.295264e+000	0.000000e+000	7.974289e+001	8.048371e+001
9.707519725452588e-004	3.294793e+000	0.000000e+000	9.235782e+001	9.335983e+001
1.107967968664525e-003	3.294258e+000	0.000000e+000	1.048205e+002	1.061229e+002
1.307209105886744e-003	3.293343e+000	0.000000e+000	1.225623e+002	1.243729e+002
1.506450243108962e-003	3.292332e+000	0.000000e+000	1.395834e+002	1.419711e+002
1.705691380331181e-003	3.291224e+000	0.000000e+000	1.558837e+002	1.589173e+002
1.904932517553399e-003	3.290020e+000	0.000000e+000	1.714634e+002	1.752116e+002
2.104173654775618e-003	3.288719e+000	0.000000e+000	1.863224e+002	1.908541e+002
2.303414791997836e-003	3.287322e+000	0.000000e+000	2.004607e+002	2.058446e+002
2.502655929220055e-003	3.285828e+000	0.000000e+000	2.138783e+002	2.201833e+002
2.753682207834832e-003	3.283818e+000	0.000000e+000	2.294423e+002	2.369993e+002
3.004708486449610e-003	3.281784e+000	0.000000e+000	2.432747e+002	2.521418e+002
3.255734765064387e-003	3.279725e+000	0.000000e+000	2.553752e+002	2.656109e+002
3.506761043679165e-003	3.277641e+000	0.000000e+000	2.657440e+002	2.774065e+002
3.757787322293943e-003	3.275533e+000	0.000000e+000	2.743810e+002	2.875287e+002
4.008813600908720e-003	3.273399e+000	0.000000e+000	2.812862e+002	2.959774e+002
4.259839879523497e-003	3.271240e+000	0.000000e+000	2.864597e+002	3.027526e+002
4.538367871646187e-003	3.259667e+000	0.000000e+000	2.897052e+002	3.078180e+002
4.816895863768878e-003	3.251374e+000	0.000000e+000	2.906307e+002	3.105369e+002
5.095423855891568e-003	3.246362e+000	0.000000e+000	2.892361e+002	3.109092e+002
5.373951848014258e-003	3.244631e+000	0.000000e+000	2.855215e+002	3.089350e+002
5.652479840136948e-003	3.246182e+000	0.000000e+000	2.794869e+002	3.046143e+002
5.931007832259639e-003	3.251013e+000	0.000000e+000	2.711323e+002	2.979470e+002
6.209535824382328e-003	3.259125e+000	0.000000e+000	2.604576e+002	2.889332e+002
6.385956390821386e-003	3.258590e+000	0.000000e+000	2.525392e+002	2.820224e+002
6.562376957260443e-003	3.258138e+000	0.000000e+000	2.438630e+002	2.743138e+002
6.738797523699499e-003	3.257768e+000	0.000000e+000	2.344292e+002	2.658073e+002
6.915218090138556e-003	3.257481e+000	0.000000e+000	2.242375e+002	2.565031e+002
7.091638656577613e-003	3.257275e+000	0.000000e+000	2.132881e+002	2.464011e+002
7.268059223016671e-003	3.257152e+000	0.000000e+000	2.015810e+002	2.355012e+002
7.444479789455727e-003	3.257111e+000	0.000000e+000	1.891161e+002	2.238036e+002
7.657471783431902e-003	3.257065e+000	0.000000e+000	1.733122e+002	2.088515e+002
7.820141493117003e-003	3.257157e+000	0.000000e+000	1.605700e+002	1.967122e+002
7.982811202802103e-003	3.257336e+000	0.000000e+000	1.474495e+002	1.841446e+002
8.145480912487204e-003	3.257602e+000	0.000000e+000	1.339508e+002	1.711487e+002
8.308150622172304e-003	3.257954e+000	0.000000e+000	1.200737e+002	1.577245e+002
8.470820331857405e-003	3.258392e+000	0.000000e+000	1.058184e+002	1.438721e+002
8.633490041542506e-003	3.258917e+000	0.000000e+000	9.118484e+001	1.295913e+002
8.796159751227606e-003	3.259529e+000	0.000000e+000	7.617299e+001	1.148823e+002
8.902070605375099e-003	3.259999e+000	0.000000e+000	6.629669e+001	1.051724e+002
9.007981459522594e-003	3.260501e+000	0.000000e+000	5.635498e+001	9.537358e+001
9.113892313670087e-003	3.261035e+000	0.000000e+000	4.634784e+001	8.548569e+001
9.219803167817580e-003	3.261602e+000	0.000000e+000	3.627528e+001	7.550879e+001
9.325714021965074e-003	3.262201e+000	0.000000e+000	2.613730e+001	6.544287e+001
9.431624876112568e-003	3.262832e+000	0.000000e+000	1.593389e+001	5.528793e+001
9.537535730260061e-003	3.263496e+000	0.000000e+000	5.665070e+000	4.504397e+001
9.560648872463520e-003	3.263644e+000	0.000000e+000	3.426085e+000	4.280715e+001
9.583762014666977e-003	3.263793e+000	0.000000e+000	1.186285e+000	4.056837e+001
9.606875156870436e-003	3.263945e+000	0.000000e+000	-1.054332e+000	3.832762e+001
9.629988299073895e-003	3.264099e+000	0.000000e+000	-3.295766e+000	3.608492e+001
9.653101441277354e-003	3.264254e+000	0.000000e+000	-5.538016e+000	3.384025e+001
9.676214583480811e-003	3.264411e+000	0.000000e+000	-7.781082e+000	3.159362e+001
9.699327725684270e-003	3.264570e+000	0.000000e+000	-1.002497e+001	2.934503e+001
9.986047717575275e-003	3.266678e+000	0.000000e+000	-3.785262e+001	1.363739e+000
9.994239717343589e-003	3.439835e+000	0.000000e+000	-3.847326e+001	7.360946e-001
1.001062371688022e-002	3.454559e+000	0.000000e+000	-3.900749e+001	1.876765e-001
1.004339171595348e-002	3.267094e+000	0.000000e+000	-3.916663e+001	0.000000e+000
1.050214370297908e-002	3.269756e+000	0.000000e+000	-3.876955e+001	0.000000e+000
1.102643168815121e-002	3.271370e+000	0.000000e+000	-3.832207e+001	0.000000e+000
1.200299418815121e-002	3.274830e+000	0.000000e+000	-3.750183e+001	0.000000e+000
1.297955668815121e-002	3.279503e+000	0.000000e+000	-3.669789e+001	0.000000e+000
1.395611918815121e-002	3.283325e+000	0.000000e+000	-3.591192e+001	0.000000e+000
1.493268168815121e-002	3.286449e+000	0.000000e+000	-3.514340e+001	0.000000e+000
1.590924418815121e-002	3.288998e+000	0.000000e+000	-3.439182e+001	0.000000e+000
1.688580668815121e-002	3.291080e+000	0.000000e+000	-3.365673e+001	0.000000e+000
1.786236918815121e-002	3.292778e+000	0.000000e+000	-3.293768e+001	0.000000e+000
1.883893168815121e-002	3.294155e+000	0.000000e+000	-3.223428e+001	0.000000e+000
1.981549418815121e-002	3.298475e+000	0.000000e+000	-3.154292e+001	0.000000e+000
1.999097026236996e-002	3.299156e+000	0.000000e+000	-3.142048e+001	0.000000e+000
1.999478495963558e-002	3.338484e+000	0.000000e+000	-3.137851e+001	3.933120e-002
2.000241435416683e-002	3.350134e+000	0.000000e+000	-3.112560e+001	2.869608e-001
2.000432170279964e-002	3.299164e+000	0.000000e+000	-3.098884e+001	4.224178e-001
2.005064302673938e-002	3.299196e+000	0.000000e+000	-2.642971e+001	4.952208e+000
2.009696435067911e-002	3.299219e+000	0.000000e+000	-2.187866e+001	9.478554e+000
2.014328567461884e-002	3.299231e+000	0.000000e+000	-1.733571e+001	1.400146e+001
2.018960699855857e-002	3.299233e+000	0.000000e+000	-1.280084e+001	1.852091e+001
2.023592832249830e-002	3.299225e+000	0.000000e+000	-8.274064e+000	2.303693e+001
2.028224964643804e-002	3.299207e+000	0.000000e+000	-3.755376e+000	2.754950e+001
2.032857097037777e-002	3.299179e+000	0.000000e+000	7.552238e-001	3.205863e+001
2.034573710807308e-002	3.299179e+000	0.000000e+000	2.423208e+000	3.372723e+001
2.036290324576839e-002	3.299174e+000	0.000000e+000	4.089456e+000	3.539472e+001
2.038006938346371e-002	3.299164e+000	0.000000e+000	5.753967e+000	3.706111e+001
2.039723552115902e-002	3.299149e+000	0.000000e+000	7.416741e+000	3.872640e+001
2.041440165885433e-002	3.299130e+000	0.000000e+000	9.077778e+000	4.039058e+001
2.043156779654964e-002	3.299105e+000	0.000000e+000	1.073708e+001	4.205365e+001
2.044873393424496e-002	3.299076e+000	0.000000e+000	1.239464e+001	4.371563e+001
2.058224833854183e-002	3.298906e+000	0.000000e+000	2.527138e+001	5.664934e+001
2.071576274283871e-002	3.298667e+000	0.000000e+000	3.795670e+001	6.942801e+001
2.084927714713558e-002	3.298359e+000	0.000000e+000	5.045062e+001	8.205163e+001
2.098279155143246e-002	3.297983e+000	0.000000e+000	6.275313e+001	9.452020e+001
2.111630595572933e-002	3.297537e+000	0.000000e+000	7.486424e+001	1.068337e+002
2.124982036002621e-002	3.297023e+000	0.000000e+000	8.678393e+001	1.189922e+002
2.138333476432308e-002	3.296440e+000	0.000000e+000	9.851222e+001	1.309956e+002
2.151221703622598e-002	3.295870e+000	0.000000e+000	1.095733e+002	1.423553e+002
2.164109930812888e-002	3.295255e+000	0.000000e+000	1.203280e+002	1.534375e+002
2.176998158003179e-002	3.294596e+000	0.000000e+000	1.307764e+002	1.642423e+002
2.189886385193469e-002	3.293893e+000	0.000000e+000	1.409184e+002	1.747697e+002
2.202774612383759e-002	3.293146e+000	0.000000e+000	1.507541e+002	1.850197e+002
2.215662839574049e-002	3.292355e+000	0.000000e+000	1.602835e+002	1.949923e+002
