time	V(Reset,R-PI_GND)	V(pulse)	V(reset)	V(vl)
0.000000000000000e+000	3.296703e+000	0.000000e+000	1.516439e-013	0.000000e+000
2.106514226137994e-005	3.296242e+000	0.000000e+000	2.058243e+000	2.059188e+000
4.213028452275988e-005	3.295783e+000	0.000000e+000	4.115218e+000	4.118060e+000
6.319542678413982e-005	3.295327e+000	0.000000e+000	6.170925e+000	6.176618e+000
8.426056904551975e-005	3.294873e+000	0.000000e+000	8.225363e+000	8.234860e+000
1.053257113068997e-004	3.294422e+000	0.000000e+000	1.027853e+001	1.029279e+001
1.263908535682796e-004	3.293973e+000	0.000000e+000	1.233043e+001	1.235040e+001
1.474559958296595e-004	3.293528e+000	0.000000e+000	1.438107e+001	1.440770e+001
2.846719919489261e-004	3.290562e+000	0.000000e+000	2.775455e+001	2.784896e+001
4.218879880681926e-004	3.287635e+000	0.000000e+000	4.097587e+001	4.117719e+001
5.591039841874592e-004	3.284747e+000	0.000000e+000	5.404503e+001	5.439239e+001
6.963199803067257e-004	3.281898e+000	0.000000e+000	6.696203e+001	6.749457e+001
8.335359764259922e-004	3.279087e+000	0.000000e+000	7.972686e+001	8.048371e+001
9.707519725452588e-004	3.276315e+000	0.000000e+000	9.233954e+001	9.335983e+001
1.107967968664525e-003	3.273582e+000	0.000000e+000	1.048001e+002	1.061229e+002
1.357531390177818e-003	3.268775e+000	0.000000e+000	1.270327e+002	1.290144e+002
1.607094811691111e-003	3.264163e+000	0.000000e+000	1.480555e+002	1.507986e+002
1.856658233204404e-003	3.259748e+000	0.000000e+000	1.678683e+002	1.714757e+002
2.106221654717696e-003	3.255529e+000	0.000000e+000	1.864713e+002	1.910455e+002
2.355785076230989e-003	3.251506e+000	0.000000e+000	2.038643e+002	2.095082e+002
2.605348497744282e-003	3.247680e+000	0.000000e+000	2.200474e+002	2.268637e+002
2.854911919257575e-003	3.244049e+000	0.000000e+000	2.350207e+002	2.431120e+002
3.455853616547497e-003	3.234821e+000	0.000000e+000	2.638375e+002	2.756044e+002
